order_id,order_date,customer_id,shipping_method_id,dest_address_id,line_id,book_id,price
1,2022-04-06 21:17:56.813,1851,3,114,2443,491,5.54
1,2022-04-06 21:17:56.813,1851,3,114,13480,1493,10.72
2,2021-01-29 07:38:57.813,670,3,31,588,6810,16.36
3,2020-12-14 03:32:45.813,740,3,822,5413,6144,3.67
3,2020-12-14 03:32:45.813,740,3,822,10364,7318,7.39
4,2022-10-22 11:39:59.813,163,3,678,6788,8975,15.09
5,2021-11-23 20:40:01.813,665,3,272,2927,128,19.26
5,2021-11-23 20:40:01.813,665,3,272,9684,7418,12.32
6,2021-02-15 15:26:12.813,186,3,651,6527,2675,19.08
6,2021-02-15 15:26:12.813,186,3,651,13234,6497,17.84
7,2022-06-30 02:19:53.813,1567,3,604,3358,9886,3.2
7,2022-06-30 02:19:53.813,1567,3,604,7748,3612,5.48
8,2023-06-08 19:58:45.813,1428,3,320,2123,10214,6.09
8,2023-06-08 19:58:45.813,1428,3,320,14100,6630,14.51
9,2023-01-29 14:42:39.813,288,3,545,6989,3549,5.32
9,2023-01-29 14:42:39.813,288,3,545,10814,9118,13.53
10,2021-07-27 03:16:32.813,85,3,458,3921,9448,13.05
10,2021-07-27 03:16:32.813,85,3,458,10369,2519,0.0
11,2021-07-16 03:57:05.813,835,3,366,1367,10760,15.17
11,2021-07-16 03:57:05.813,835,3,366,9040,6687,2.23
12,2021-05-12 18:31:59.813,849,3,725,3675,5303,2.16
12,2021-05-12 18:31:59.813,849,3,725,10675,3743,9.23
13,2021-05-18 02:07:36.813,81,3,55,6224,10117,8.62
13,2021-05-18 02:07:36.813,81,3,55,9545,8349,12.69
13,2021-05-18 02:07:36.813,81,3,55,14646,4823,1.32
14,2021-10-27 08:33:47.813,366,3,31,4414,9015,1.41
14,2021-10-27 08:33:47.813,366,3,31,9162,7058,9.47
15,2022-09-08 13:24:25.813,1291,3,163,6986,8753,17.88
15,2022-09-08 13:24:25.813,1291,3,163,12493,7727,0.07
15,2022-09-08 13:24:25.813,1291,3,163,14349,2842,19.26
16,2021-07-03 20:28:50.813,1498,3,622,1822,786,11.53
17,2021-04-12 19:58:05.813,677,3,970,6387,10819,16.02
17,2021-04-12 19:58:05.813,677,3,970,10227,2297,17.26
18,2021-03-20 14:55:07.813,1449,3,152,3558,1422,2.07
19,2023-01-28 00:54:52.813,115,3,572,6447,2490,0.5
19,2023-01-28 00:54:52.813,115,3,572,12321,7419,10.3
20,2021-08-17 19:45:24.813,1356,3,785,4047,7731,0.46
21,2022-05-20 11:34:30.813,673,3,255,419,2666,4.73
22,2023-01-13 07:25:47.813,1566,3,62,7486,9007,14.95
22,2023-01-13 07:25:47.813,1566,3,62,9438,10135,14.09
22,2023-01-13 07:25:47.813,1566,3,62,13167,3862,3.18
22,2023-01-13 07:25:47.813,1566,3,62,14184,4953,6.49
23,2023-06-01 15:59:40.813,357,3,874,6126,10918,5.51
23,2023-06-01 15:59:40.813,357,3,874,9942,950,1.07
23,2023-06-01 15:59:40.813,357,3,874,14130,6028,11.84
24,2023-01-31 18:54:03.813,1469,3,146,4312,17,12.8
24,2023-01-31 18:54:03.813,1469,3,146,9734,8443,3.18
25,2022-03-03 06:41:13.813,717,3,435,2832,2128,0.85
25,2022-03-03 06:41:13.813,717,3,435,14658,775,4.62
26,2023-01-26 02:06:37.813,1676,3,202,328,9770,13.36
26,2023-01-26 02:06:37.813,1676,3,202,9819,2033,4.51
26,2023-01-26 02:06:37.813,1676,3,202,12499,1476,15.96
27,2022-09-07 03:01:12.813,1939,3,844,698,9948,13.4
28,2023-05-24 22:23:21.813,1364,3,486,2926,6263,8.55
28,2023-05-24 22:23:21.813,1364,3,486,8829,11119,14.36
29,2021-12-27 23:10:46.813,547,3,759,3542,4114,11.88
30,2022-08-11 15:21:11.813,107,3,129,1928,1730,19.0
31,2022-07-05 23:51:35.813,1051,3,888,2827,515,18.66
31,2022-07-05 23:51:35.813,1051,3,888,10001,7740,3.8
32,2022-08-27 09:56:00.813,1029,3,225,7161,9101,7.3
32,2022-08-27 09:56:00.813,1029,3,225,10644,7340,1.19
33,2021-02-15 21:18:54.813,1130,3,400,6463,7565,12.8
34,2021-04-30 23:26:28.813,61,3,156,2088,8656,8.67
34,2021-04-30 23:26:28.813,61,3,156,13830,9075,3.43
35,2021-08-04 14:35:33.813,1205,3,802,6367,7051,13.29
35,2021-08-04 14:35:33.813,1205,3,802,9814,5404,9.32
35,2021-08-04 14:35:33.813,1205,3,802,11673,4104,0.73
35,2021-08-04 14:35:33.813,1205,3,802,14066,4582,18.31
36,2023-05-04 06:42:45.813,947,3,166,872,1051,7.19
36,2023-05-04 06:42:45.813,947,3,166,12782,1361,3.83
36,2023-05-04 06:42:45.813,947,3,166,15297,7972,14.85
37,2022-09-07 18:11:41.813,1810,3,153,5373,115,10.69
37,2022-09-07 18:11:41.813,1810,3,153,13533,639,0.91
38,2023-04-15 12:27:13.813,333,3,187,5815,8405,10.37
38,2023-04-15 12:27:13.813,333,3,187,14489,6182,7.08
39,2021-06-23 13:14:11.813,102,3,366,7302,5805,3.09
40,2021-05-31 21:19:59.813,539,3,149,2076,9096,5.34
40,2021-05-31 21:19:59.813,539,3,149,14972,7450,14.36
41,2021-04-10 19:41:23.813,1483,3,607,4212,4367,8.42
41,2021-04-10 19:41:23.813,1483,3,607,8894,6539,10.83
41,2021-04-10 19:41:23.813,1483,3,607,15053,6648,18.74
42,2023-02-07 11:48:55.813,1011,3,242,7447,6260,12.93
42,2023-02-07 11:48:55.813,1011,3,242,9129,10853,12.34
43,2021-11-28 07:15:56.813,839,3,622,2018,7441,10.07
43,2021-11-28 07:15:56.813,839,3,622,9861,11127,5.66
44,2020-11-02 19:11:22.813,276,3,5,1797,7586,7.2
44,2020-11-02 19:11:22.813,276,3,5,9573,7121,5.81
45,2020-11-12 15:46:59.813,1472,3,384,5439,2879,8.65
45,2020-11-12 15:46:59.813,1472,3,384,13749,3996,9.06
45,2020-11-12 15:46:59.813,1472,3,384,14953,9625,18.4
46,2021-11-25 18:40:44.813,1082,3,849,3512,7796,16.25
46,2021-11-25 18:40:44.813,1082,3,849,10201,5966,7.91
47,2022-12-01 15:28:33.813,826,3,228,483,6142,13.43
47,2022-12-01 15:28:33.813,826,3,228,11172,6059,5.88
47,2022-12-01 15:28:33.813,826,3,228,13178,3654,3.55
48,2022-11-09 18:28:41.813,1143,3,58,6545,7292,2.23
48,2022-11-09 18:28:41.813,1143,3,58,10281,763,17.92
49,2023-05-15 07:46:52.813,1484,3,547,1681,2270,13.37
49,2023-05-15 07:46:52.813,1484,3,547,7743,2301,15.2
49,2023-05-15 07:46:52.813,1484,3,547,14047,9928,7.13
50,2022-11-01 20:47:52.813,1251,3,767,4269,10572,3.59
50,2022-11-01 20:47:52.813,1251,3,767,12604,3451,8.93
51,2022-08-08 03:21:12.813,1424,3,615,4673,5680,16.6
